ID_UC_G0,GC_UCN_MAI_2025,GC_CNT_GAD_2025,GC_UCA_KM2_2025,GC_POP_TOT_2025,GC_DEV_WIG_2025,GC_DEV_USR_2025,IN_CIS_ENE_2020,IN_CIS_TRA_2020,IN_CIS_WAT_2020,IN_CIS_WAS_2020,IN_CIS_TEL_2020,IN_CIS_HEA_2020,IN_CIS_EDU_2020,IN_CIS_ALL_2020,IN_ROA_LEN_2024,IN_ROA_DEN_2024
1,Apia,Samoa,35.00,60041.66,Lower Middle,Oceania,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,230124.25,0.01
2,Nuku'alofa,Tonga,20.00,51990.77,Upper Middle,Oceania,0.00,0.01,0.00,0.00,0.08,0.00,0.01,0.12,173721.98,0.01
3,Ewa Beach,United States,15.00,53720.66,High income,Northern America,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222356.80,0.01
4,Papeete,French Polynesia,50.00,109747.13,High income,Oceania,0.02,0.01,0.01,0.00,0.10,0.02,0.01,0.20,696515.98,0.01
5,Rosarito,México,29.00,76707.06,Upper Middle,Latin America and the Caribbean,0.02,0.01,0.00,0.00,0.00,0.01,0.01,0.06,519823.90,0.02
6,Victoria,Canada,112.00,250759.78,High income,Northern America,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1667032.79,0.01
7,Malacatán,Guatemala,9.00,62529.15,Upper Middle,Latin America and the Caribbean,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,70397.76,0.01
8,Ahuachapan,El Salvador,19.00,83851.13,Upper Middle,Latin America and the Caribbean,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.03,218003.66,0.01
9,Santa Rosa,Honduras,8.00,53613.32,Lower Middle,Latin America and the Caribbean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,119702.68,0.01
10,Chinandega,Nicaragua,15.00,104366.02,Lower Middle,Latin America and the Caribbean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,221975.00,0.01
11,Belize City,Belize,27.00,76330.51,Upper Middle,Latin America and the Caribbean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,318256.50,0.01
12,Liberia,Costa Rica,13.00,52864.20,Upper Middle,Latin America and the Caribbean,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.03,185756.95,0.01
13,David,Panama,34.00,126994.93,High income,Latin America and the Caribbean,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,474354.51,0.01
14,Talara,Peru,16.00,79733.42,Upper Middle,Latin America and the Caribbean,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,218402.61,0.01
15,Salinas [Santa Elena],Ecuador,60.00,267482.06,Upper Middle,Latin America and the Caribbean,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.04,953810.59,0.02
16,San Andrés,Colombia,13.00,59179.78,Upper Middle,Latin America and the Caribbean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,85909.45,0.01
17,Pinar del Rio,Cuba,23.00,150118.85,Upper Middle,Latin America and the Caribbean,0.02,0.01,0.00,0.00,0.00,0.00,0.01,0.04,290471.10,0.01
18,Montego Bay,Jamaica,48.00,116517.25,Upper Middle,Latin America and the Caribbean,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.02,442692.58,0.01
19,Nassau,Bahamas,110.00,261235.21,High income,Latin America and the Caribbean,0.01,0.02,0.00,0.00,0.02,0.01,0.02,0.08,1322791.39,0.01
20,Cruzeiro do Sul,Brazil,13.00,63746.10,Upper Middle,Latin America and the Caribbean,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.03,163567.04,0.01
21,Ureña,Venezuela,10.00,50768.28,Upper Middle,Latin America and the Caribbean,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.03,164474.21,0.02
22,Jérémie,Haiti,8.00,60004.23,Lower Middle,Latin America and the Caribbean,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,79115.01,0.01
