"","ID_UC_G0","Region"
"1",1,"Small Islands"
"2",2,"Small Islands"
"3",3,"Small Islands"
"4",4,"Small Islands"
"5",5,"North America"
"6",6,"North America"
"7",7,"South America"
"8",8,"South America"
"9",9,"South America"
"10",10,"South America"
"11",11,"South America"
"12",12,"South America"
"13",13,"South America"
"14",14,"South America"
"15",15,"South America"
"16",16,"South America"
"17",17,"Small Islands"
"18",18,"Small Islands"
"19",19,"Small Islands"
"20",20,"South America"
"21",21,"South America"
"22",22,"Small Islands"
"23",23,"Small Islands"
"24",24,"Small Islands"
"25",25,"South America"
"26",26,"Small Islands"
"27",27,"South America"
"28",28,"Small Islands"
"29",29,"South America"
"30",30,"Small Islands"
"31",31,"Small Islands"
"32",32,"Small Islands"
"33",33,"South America"
"34",34,"South America"
"35",35,"South America"
"36",36,"South America"
"37",37,"South America"
"38",38,"Small Islands"
"39",39,"Africa"
"40",40,"Africa"
"41",41,"Africa"
"42",42,"Europe"
"43",43,"Africa"
"44",44,"Europe"
"45",45,"Africa"
"46",46,"Africa"
"47",47,"Africa"
"48",48,"Europe"
"49",49,"Africa"
"50",50,"Africa"
"51",52,"Africa"
"52",53,"Europe"
"53",54,"Europe"
"54",55,"Africa"
"55",56,"Europe"
"56",57,"Africa"
"57",58,"Africa"
"58",59,"Europe"
"59",60,"Africa"
"60",61,"Africa"
"61",62,"Africa"
"62",63,"Europe"
"63",64,"Africa"
"64",65,"Europe"
"65",66,"Europe"
"66",67,"Europe"
"67",68,"Europe"
"68",69,"Europe"
"69",70,"Europe"
"70",71,"Africa"
"71",72,"Europe"
"72",73,"Europe"
"73",74,"Africa"
"74",75,"Europe"
"75",76,"Africa"
"76",77,"Africa"
"77",78,"Africa"
"78",79,"Europe"
"79",80,"Europe"
"80",81,"Africa"
"81",82,"Europe"
"82",83,"Europe"
"83",84,"Africa"
"84",85,"Africa"
"85",86,"Africa"
"86",87,"Europe"
"87",88,"Europe"
"88",89,"Europe"
"89",90,"Africa"
"90",91,"Europe"
"91",92,"Africa"
"92",93,"Europe"
"93",94,"Europe"
"94",95,"Europe"
"95",96,"Africa"
"96",97,"Europe"
"97",98,"Europe"
"98",99,"Europe"
"99",100,"Africa"
"100",101,"Europe"
