"","city_id","consensus_label_majority","probability","pop","city_name","country","n_studies","cluster_name","Region"
"1",1,2,0.478420571820869,0.06,"Apia","Samoa",3,"Development first","Small Islands"
"2",2,0,0.458591224444935,0.052,"Nuku'alofa","Tonga",0,"Mitigation first","Small Islands"
"3",3,0,0.545078805789084,0.054,"Ewa Beach","United States",0,"Mitigation first","Small Islands"
"4",4,1,0.347064442694105,0.11,"Papeete","French Polynesia",0,"Mega all in","Small Islands"
"5",5,0,0.423534988774825,0.077,"Rosarito","México",1,"Mitigation first","North America"
"6",6,0,0.560329800291467,0.251,"Victoria","Canada",46,"Mitigation first","North America"
"7",7,3,0.448328226339835,0.063,"Malacatán","Guatemala",0,"Urban planning first","South America"
"8",8,2,0.620074449938988,0.084,"Ahuachapan","El Salvador",0,"Development first","South America"
"9",9,2,0.441383765415757,0.054,"Santa Rosa","Honduras",0,"Development first","South America"
"10",10,2,0.583665466476119,0.104,"Chinandega","Nicaragua",1,"Development first","South America"
"11",11,2,0.582184591414117,0.076,"Belize City","Belize",1,"Development first","South America"
"12",12,2,0.677142181165812,0.053,"Liberia","Costa Rica",2,"Development first","South America"
"13",13,2,0.662326777384953,0.127,"David","Panama",0,"Development first","South America"
"14",14,3,0.562968612985633,0.08,"Talara","Peru",0,"Urban planning first","South America"
"15",15,3,0.580566865481978,0.267,"Salinas [Santa Elena]","Ecuador",0,"Urban planning first","South America"
"16",16,3,0.450017646043623,0.059,"San Andrés","Colombia",0,"Urban planning first","South America"
"17",17,2,0.714360461585355,0.15,"Pinar del Rio","Cuba",1,"Development first","Small Islands"
"18",18,2,0.57467459380757,0.117,"Montego Bay","Jamaica",3,"Development first","Small Islands"
"19",19,3,0.461711594561521,0.261,"Nassau","Bahamas",1,"Urban planning first","Small Islands"
"20",20,2,0.757777574669254,0.064,"Cruzeiro do Sul","Brazil",3,"Development first","South America"
"21",21,3,0.528665643834219,0.051,"Ureña","Venezuela",0,"Urban planning first","South America"
"22",22,2,0.585246723826082,0.06,"Jérémie","Haiti",0,"Development first","Small Islands"
"23",23,3,0.4816933457167,0.058,"Oranjestad","Aruba",0,"Urban planning first","Small Islands"
"24",24,2,0.482651062894354,0.078,"Santa Cruz de Barahona","Dominican Republic",0,"Development first","Small Islands"
"25",25,0,0.656725771946461,0.122,"Arica","Chile",10,"Mitigation first","South America"
"26",26,3,0.566987477328674,0.162,"Willemstad","Curaçao",0,"Urban planning first","Small Islands"
"27",27,3,0.345684201738529,0.072,"Cobija","Bolivia",1,"Urban planning first","South America"
"28",28,3,0.477551476332091,0.086,"Ponce","Puerto Rico",2,"Urban planning first","Small Islands"
"29",29,0,0.466184540910798,0.465,"San Juan","Argentina",2,"Mitigation first","South America"
"30",30,2,0.437172784392212,0.474,"Port of Spain","Trinidad and Tobago",3,"Development first","Small Islands"
"31",31,3,0.314349898172665,0.091,"Fort-de-France","Martinique",0,"Urban planning first","Small Islands"
"32",32,2,0.551896383090683,0.153,"Bridgetown","Barbados",2,"Development first","Small Islands"
"33",33,3,0.381004211926155,0.131,"Georgetown","Guyana",6,"Urban planning first","South America"
"34",34,0,0.339163933673386,0.254,"Paramaribo","Suriname",0,"Mitigation first","South America"
"35",35,2,0.583799027994959,0.089,"Concepción","Paraguay",0,"Development first","South America"
"36",36,0,0.492115804240765,0.096,"Salto","Uruguay",2,"Mitigation first","South America"
"37",37,2,0.422089591081593,0.076,"Cayenne","French Guiana",0,"Development first","South America"
"38",38,3,0.646509412876279,0.088,"Mindelo","Cabo Verde",1,"Urban planning first","Small Islands"
"39",39,1,0.351760233645894,3.97,"Dakar","Senegal",38,"Mega all in","Africa"
"40",40,3,0.440772243516949,1.313,"Serrekunda","Gambia",0,"Urban planning first","Africa"
"41",41,3,0.536922698327082,0.177,"Nouadhibou","Mauritania",2,"Urban planning first","Africa"
"42",42,0,0.506259152214108,0.061,"Los Cristianos","Spain",0,"Mitigation first","Europe"
"43",43,2,0.414375920557159,0.674,"Bissau","Guinea-Bissau",1,"Development first","Africa"
"44",44,3,0.474177175656681,0.135,"Funchal","Portugal",4,"Urban planning first","Europe"
"45",45,3,0.454445575858694,0.181,"Dakhla","Western Sahara",1,"Urban planning first","Africa"
"46",46,2,0.502686786023236,0.128,"Kamsar","Guinea",0,"Development first","Africa"
"47",47,3,0.299596980177536,2.151,"Freetown","Sierra Leone",14,"Urban planning first","Africa"
"48",48,0,0.58178633650203,0.207,"Reykjavik","Iceland",27,"Mitigation first","Europe"
"49",49,2,0.399679580500002,0.287,"Kayes","Mali",0,"Development first","Africa"
"50",50,2,0.330827146198041,2.05,"Monrovia","Liberia",5,"Development first","Africa"
"51",52,2,0.593997707864308,0.101,"Danané","Côte d'Ivoire",0,"Development first","Africa"
"52",53,0,0.551614014020134,0.074,"Galway","Ireland",16,"Mitigation first","Europe"
"53",54,0,0.598853197774572,0.07,"Derry/Londonderry","United Kingdom",0,"Mitigation first","Europe"
"54",55,2,0.402903946392854,0.074,"Niangoloko","Burkina Faso",0,"Development first","Africa"
"55",56,0,0.570949796551107,0.127,"Brest","France",1,"Mitigation first","Europe"
"56",57,2,0.582002605863376,0.085,"Dormaa Ahenkro","Ghana",0,"Development first","Africa"
"57",58,3,0.493021012933718,0.201,"Bechar","Algeria",12,"Urban planning first","Africa"
"58",59,0,0.490856045440111,0.058,"St. Helier","Jersey",0,"Mitigation first","Europe"
"59",60,3,0.497377880265513,0.078,"Cinkassé","Togo",0,"Urban planning first","Africa"
