GHS_urban_area_id,most_probable_cluster,assignment_probability,uncertainty_score,similarity
1,1,1.0,0.0,0.5940955
2,1,1.0,0.0,0.4345511
3,2,1.0,0.0,0.33546746
4,1,1.0,0.0,0.43079528
5,2,1.0,0.0,0.350061
6,2,1.0,0.0,0.2400826
7,1,1.0,0.0,0.4844275
8,0,1.0,0.0,0.35722023
9,0,1.0,0.0,0.34964642
10,0,1.0,0.0,0.36499724
11,0,1.0,0.0,0.35183245
12,0,1.0,0.0,0.37231982
13,0,1.0,0.0,0.5281154
14,0,1.0,0.0,0.38249376
15,0,1.0,0.0,0.38496563
16,1,1.0,0.0,0.57955027
17,0,1.0,0.0,0.32837674
18,0,1.0,0.0,0.36612093
19,1,1.0,0.0,0.5263059
20,0,1.0,0.0,0.3841208
21,1,1.0,0.0,0.68980527
22,0,1.0,0.0,0.38080943
23,1,1.0,0.0,0.53878516
24,0,1.0,0.0,0.40191364
25,2,1.0,0.0,0.2831089
26,0,1.0,0.0,0.3697468
27,1,1.0,0.0,0.66828215
28,1,1.0,0.0,0.5335852
29,1,1.0,0.0,0.55699813
30,1,1.0,0.0,0.5350194
31,1,1.0,0.0,0.502158
32,0,1.0,0.0,0.37819642
33,1,1.0,0.0,0.4917469
34,0,1.0,0.0,0.27796715
35,0,1.0,0.0,0.30959976
36,1,1.0,0.0,0.45817292
37,0,1.0,0.0,0.3362897
38,0,1.0,0.0,0.4097048
39,1,1.0,0.0,0.4934128
40,1,1.0,0.0,0.6553098
41,0,1.0,0.0,0.4207284
42,2,1.0,0.0,0.3682341
43,0,1.0,0.0,0.37433457
44,1,1.0,0.0,0.49674013
45,1,1.0,0.0,0.4899905
46,0,1.0,0.0,0.35919178
47,1,1.0,0.0,0.6832334
48,2,1.0,0.0,0.24943788
49,0,1.0,0.0,0.37202385
50,1,1.0,0.0,0.8050558
52,0,1.0,0.0,0.348851
53,2,1.0,0.0,0.2509692
54,2,1.0,0.0,0.2848104
55,0,1.0,0.0,0.33657023
56,2,1.0,0.0,0.26385364
57,0,1.0,0.0,0.3047806
58,0,1.0,0.0,0.5510781
59,2,1.0,0.0,0.28654882
60,0,1.0,0.0,0.29488
61,0,1.0,0.0,0.3059849
62,0,1.0,0.0,0.28706393
63,2,1.0,0.0,0.24667728
64,0,1.0,0.0,0.3128964
65,2,1.0,0.0,0.2438312
66,2,1.0,0.0,0.23834603
67,2,1.0,0.0,0.24102512
68,2,1.0,0.0,0.28903544
69,2,1.0,0.0,0.25939533
70,2,1.0,0.0,0.2426295
71,0,1.0,0.0,0.39809343
72,2,1.0,0.0,0.24563913
73,2,1.0,0.0,0.2386216
74,1,1.0,0.0,0.60707283
75,2,1.0,0.0,0.23771824
76,1,1.0,0.0,0.6033957
77,0,1.0,0.0,0.369735
78,0,1.0,0.0,0.543916
79,2,1.0,0.0,0.23777771
80,2,1.0,0.0,0.23970972
81,1,1.0,0.0,0.58098394
82,2,1.0,0.0,0.23886232
83,2,1.0,0.0,0.30263928
84,1,1.0,0.0,0.63199216
85,0,1.0,0.0,0.44828665
86,0,1.0,0.0,0.48569238
87,2,1.0,0.0,0.30335763
88,2,1.0,0.0,0.24447075
89,2,1.0,0.0,0.26801312
90,1,1.0,0.0,0.6106125
91,2,1.0,0.0,0.42334586
92,0,1.0,0.0,0.25261837
93,2,1.0,0.0,0.25831884
94,2,1.0,0.0,0.2803597
95,2,1.0,0.0,0.2771833
96,0,1.0,0.0,0.45628047
97,2,1.0,0.0,0.25125536
98,2,1.0,0.0,0.31346223
99,2,1.0,0.0,0.23805985
100,1,1.0,0.0,0.5998507
101,2,1.0,0.0,0.36384213
102,2,1.0,0.0,0.286057
103,2,1.0,0.0,0.3722562
104,2,1.0,0.0,0.25021666
105,2,1.0,0.0,0.28113157
106,2,1.0,0.0,0.3104265
107,2,1.0,0.0,0.32763374
108,2,1.0,0.0,0.29012293
109,2,1.0,0.0,0.25971615
110,2,1.0,0.0,0.3842338
111,0,1.0,0.0,0.45206064
112,2,1.0,0.0,0.2722967
113,0,1.0,0.0,0.31250757
114,1,1.0,0.0,0.57695633
115,1,1.0,0.0,0.52788323
116,2,1.0,0.0,0.34401906
117,1,1.0,0.0,0.67090833
118,0,1.0,0.0,0.5377682
119,2,1.0,0.0,0.34293532
120,1,1.0,0.0,0.82229966
121,1,1.0,0.0,0.71945643
122,1,1.0,0.0,0.50066733
123,1,1.0,0.0,0.46348754
124,1,1.0,0.0,0.66231525
125,1,1.0,0.0,0.8083399
126,0,1.0,0.0,0.43954325
127,1,1.0,0.0,0.5608741
128,2,1.0,0.0,0.35655674
129,1,1.0,0.0,0.65586126
130,1,1.0,0.0,0.63895327
131,1,1.0,0.0,0.5126544
133,1,1.0,0.0,0.59080786
134,2,1.0,0.0,0.39737475
135,1,1.0,0.0,0.5405147
136,2,1.0,0.0,0.46713173
137,0,1.0,0.0,0.44064078
138,1,1.0,0.0,0.6433702
139,2,1.0,0.0,0.36059126
140,2,1.0,0.0,0.35087565
141,2,1.0,0.0,0.34601563
142,2,1.0,0.0,0.37123868
143,2,1.0,0.0,0.37187338
144,0,1.0,0.0,0.32314548
145,1,1.0,0.0,0.65362227
146,0,1.0,0.0,0.5439569
147,0,1.0,0.0,0.25823656
148,0,1.0,0.0,0.43914184
149,1,1.0,0.0,0.5546543
150,1,1.0,0.0,0.54278296
151,1,1.0,0.0,0.5111032
152,2,1.0,0.0,0.4632419
153,2,1.0,0.0,0.4399559
154,2,1.0,0.0,0.33166873
155,2,1.0,0.0,0.39890838
156,1,1.0,0.0,0.53944945
157,1,1.0,0.0,0.47058526
158,1,1.0,0.0,0.5785696
159,1,1.0,0.0,0.49979267
160,2,1.0,0.0,0.43176892
161,0,1.0,0.0,0.41748425
162,2,1.0,0.0,0.36170644
163,2,1.0,0.0,0.35113496
164,2,1.0,0.0,0.40406385
165,2,1.0,0.0,0.68617046
166,2,1.0,0.0,0.7000573
167,0,1.0,0.0,0.25548244
168,2,1.0,0.0,0.33823267
169,0,1.0,0.0,0.290938
170,1,1.0,0.0,0.68010145
171,0,1.0,0.0,0.5210167
172,0,1.0,0.0,0.4600876
173,0,1.0,0.0,0.27090296
174,0,1.0,0.0,0.40175235
175,0,1.0,0.0,0.5210828
176,1,1.0,0.0,0.49392357
177,2,1.0,0.0,0.7345883
178,2,1.0,0.0,0.4306721
