cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,GHS_urban_area_id
0.0029056268,0.8455372,0.04735582,0.00027602597,0.10392541,1
0.0031882252,0.83653504,0.05628863,0.00029984285,0.10368827,2
0.009117871,0.0640723,0.8725721,0.0005772963,0.053660423,3
0.008332888,0.5274981,0.27429348,0.0006945509,0.18918094,4
0.0065294816,0.10290815,0.819752,0.00047435678,0.07033609,5
0.25892106,0.15579125,0.41943046,0.008156782,0.15770039,6
0.009714161,0.36001006,0.4644785,0.0007778831,0.16501945,7
0.003612439,0.13035516,0.03792026,0.00032912896,0.827783,8
0.0038252054,0.71626794,0.05195063,0.00036886786,0.2275874,9
0.005316898,0.11252673,0.050534923,0.00046537616,0.8311561,10
0.003402296,0.11775052,0.036441974,0.00030809047,0.8420971,11
0.0047126194,0.26720977,0.051159453,0.00044718152,0.67647105,12
0.003353911,0.1621663,0.04227915,0.0003001685,0.79190046,13
0.0047180294,0.39847487,0.05758423,0.0004441422,0.5387787,14
0.008394343,0.43082178,0.2724611,0.00067435653,0.28764847,15
0.00482332,0.4164001,0.07463549,0.00042858836,0.5037125,16
0.0044109244,0.4167924,0.062065586,0.00040645697,0.5163246,17
0.0041866866,0.21922801,0.046510402,0.0003900639,0.7296849,18
0.0035687806,0.77896553,0.053990867,0.00033448252,0.16314043,19
0.0038349193,0.14958157,0.04014083,0.00035459825,0.8060881,20
0.0036585156,0.7824353,0.0723671,0.00033249718,0.1412065,21
0.0039537526,0.108500674,0.03955963,0.00035391987,0.847632,22
0.004211055,0.6863092,0.062737755,0.00039011092,0.24635181,23
0.0052535916,0.56243163,0.060539953,0.0005123045,0.3712625,24
0.0051446473,0.7529924,0.11049168,0.00047053516,0.1309008,25
0.0058219074,0.39256126,0.061477333,0.000562503,0.53957707,26
0.40889806,0.13197015,0.30789,0.008280007,0.14296179,27
0.0040865922,0.6702356,0.07001509,0.0003717367,0.25529104,28
