cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,GHS_urban_area_id
0.86500406,0.015987936,0.0016598373,0.048047304,0.061005704,0.00029186814,0.008003256,1.0
0.054505344,0.00783621,0.003300637,0.8856903,0.016184222,0.0004402766,0.03204301,2.0
0.019891012,0.01071066,0.8357285,0.03066499,0.014143501,0.0061410563,0.08272028,3.0
0.017012984,0.010319611,0.87716043,0.023751598,0.012962614,0.011541526,0.047251314,4.0
0.0091844965,0.0031849886,0.006660368,0.023031771,0.0049871495,0.0005092648,0.952442,5.0
0.0054966416,0.0032634928,0.9597831,0.0078003514,0.0041365074,0.003151498,0.01636853,6.0
0.79592556,0.017953994,0.0025942412,0.11323377,0.05593943,0.00043352135,0.0139195705,7.0
0.021339694,0.8666728,0.0012338548,0.008899064,0.09790202,0.0002893645,0.0036631583,8.0
0.08160437,0.055220447,0.0014945645,0.018581595,0.837292,0.00030442746,0.0055025723,9.0
0.015258837,0.9153433,0.0010138415,0.0067782938,0.058449093,0.00024346293,0.002913211,10.0
0.03378628,0.7655623,0.0017642961,0.013430647,0.17968868,0.0004067078,0.0053610313,11.0
0.06246654,0.34986296,0.0024318104,0.021511339,0.55532944,0.00053763407,0.007860315,12.0
0.054987557,0.12602194,0.0016502064,0.016539795,0.79483914,0.00035276217,0.0056086183,13.0
0.054085907,0.113552004,0.0015721851,0.01597598,0.8091175,0.00033623795,0.0053602206,14.0
0.8118682,0.017165797,0.0024100344,0.10106552,0.0543025,0.00040528236,0.012782662,15.0
0.38759354,0.022769408,0.005009797,0.4934279,0.058267325,0.0007743587,0.0321577,16.0
0.057892352,0.16079636,0.0018461142,0.017965943,0.7549049,0.00039822026,0.0061961464,17.0
0.06244824,0.24773084,0.0022218637,0.020543696,0.65925527,0.00048483553,0.0073152496,18.0
0.086822614,0.021302337,0.018590834,0.3893106,0.03756324,0.0019901914,0.44442016,19.0
0.01925029,0.88251495,0.0011410831,0.008119124,0.08533773,0.0002686983,0.0033681376,20.0
0.5564474,0.0240096,0.0045384616,0.32168084,0.06549236,0.00072458363,0.027106764,21.0
0.015576452,0.9111514,0.0009990229,0.0068096127,0.062329926,0.00023829122,0.0028953415,22.0
0.31976137,0.021108292,0.004931335,0.5681754,0.05270035,0.0007543879,0.032568924,23.0
0.068017654,0.054027308,0.0013414759,0.016172335,0.8552814,0.00027500122,0.0048847226,24.0
0.018119842,0.0097817285,0.8515536,0.027834447,0.012901912,0.005717931,0.07409056,25.0
0.35322732,0.0663026,0.0032185758,0.05215007,0.51148975,0.00062203035,0.01298969,26.0
0.85171765,0.018001858,0.00176522,0.048293464,0.071531005,0.00031290666,0.00837791,27.0
0.02029998,0.0076754126,0.022048758,0.04536424,0.0116464095,0.0014516128,0.8915136,28.0
0.0035303044,0.002035311,0.97350556,0.0051337085,0.002612072,0.0016604752,0.011522443,29.0
0.83906513,0.016337948,0.0020924667,0.07687446,0.054464027,0.0003550521,0.010810907,30.0
0.05988241,0.027688703,0.25494963,0.10682258,0.038889747,0.008911963,0.50285494,31.0
0.0696056,0.05438567,0.0013642476,0.01649553,0.85289353,0.0002791972,0.004976181,32.0
