cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,GHS_urban_area_id
0.018229576,0.027558515,0.028107475,0.025906894,0.8037561,0.0071277292,0.026261618,0.062127985,0.00092403224,1.0
0.04020773,0.08663055,0.108092986,0.08144376,0.037972163,0.005675838,0.052702907,0.5866853,0.0005888062,2.0
0.0051454613,0.0067804498,0.02279502,0.008797245,0.004489285,0.0021857591,0.940346,0.009312301,0.00014845213,3.0
0.02778921,0.034942493,0.085204534,0.041363448,0.02853108,0.020773312,0.7147741,0.04550454,0.0011173025,4.0
0.044893935,0.069334805,0.55615544,0.23580025,0.0074505783,0.0023583618,0.029255927,0.05449773,0.00025298714,5.0
0.02531055,0.03211525,0.079503484,0.03844867,0.027645035,0.01861986,0.73443913,0.04288383,0.0010341348,6.0
0.053389534,0.10013105,0.09283737,0.08985093,0.1293928,0.009879494,0.059544384,0.46379945,0.0011749628,7.0
0.026557872,0.08647058,0.035274,0.049957056,0.009376578,0.0017220958,0.012066344,0.7783732,0.00020226138,8.0
0.017532907,0.049097694,0.025660118,0.031648796,0.008807579,0.0014485857,0.010010563,0.85562545,0.00016828324,9.0
0.06305831,0.2866736,0.06404253,0.11552308,0.012775492,0.0027466184,0.019007158,0.43584704,0.0003261969,10.0
0.055110842,0.097797655,0.09720091,0.088828824,0.21405245,0.012687106,0.07167464,0.36116892,0.0014786313,11.0
0.0493287,0.08171603,0.083653584,0.07630287,0.38264677,0.01386945,0.068713434,0.24209993,0.0016692583,12.0
0.0055056303,0.0077076075,0.008153194,0.00740837,0.94472826,0.0031135615,0.008547192,0.0144028235,0.0004334403,13.0
0.8490955,0.068019815,0.016088283,0.04214964,0.0028375676,0.0010414129,0.005381921,0.015247258,0.00013856152,14.0
0.77592474,0.12598707,0.017965334,0.05063687,0.0031190836,0.0010735753,0.0057324474,0.01942019,0.00014061836,15.0
0.040763382,0.08584798,0.07582518,0.07158979,0.0544102,0.0061175334,0.042020973,0.6227373,0.0006876048,16.0
0.07301463,0.37685072,0.062064104,0.11826701,0.01256488,0.0028070654,0.018699395,0.3353967,0.00033552476,17.0
0.07726102,0.50024587,0.05621861,0.11837326,0.010388449,0.002459031,0.016271172,0.21848744,0.00029512553,18.0
0.033131856,0.084011234,0.07839934,0.06703131,0.01863671,0.0033824898,0.029746354,0.6853048,0.0003559083,19.0
0.016110042,0.024279395,0.0256735,0.0231584,0.82402056,0.0065582977,0.024701865,0.054668013,0.00082992925,20.0
0.020983897,0.06215616,0.028405625,0.037408326,0.009201253,0.0015732463,0.010693357,0.82939345,0.0001846689,21.0
0.05176261,0.20768103,0.05879532,0.09953909,0.0123596145,0.002535725,0.017824274,0.54920197,0.0003003977,22.0
0.46054634,0.35943103,0.030972779,0.09716111,0.004879076,0.001576786,0.009064124,0.036167577,0.00020120859,23.0
0.26472998,0.5655257,0.02961832,0.08436659,0.0049541,0.0015493372,0.008862911,0.040197607,0.00019547195,24.0
0.02090031,0.032189555,0.78038585,0.060734507,0.0075419266,0.0024149618,0.054553814,0.04105,0.00022899256,25.0
0.5167578,0.31828249,0.029026693,0.0865786,0.004760504,0.001557793,0.008750982,0.034085426,0.00019965494,26.0
0.019991806,0.027060539,0.028356358,0.025827939,0.8056217,0.013840346,0.030792432,0.04646996,0.0020389147,27.0
0.03182443,0.04505802,0.62967134,0.08142518,0.013228347,0.0045971945,0.1371509,0.05662426,0.0004204112,28.0
0.019708008,0.026574856,0.12839577,0.03750021,0.012864242,0.005534566,0.73370695,0.035292014,0.0004233959,29.0
0.022221314,0.05337931,0.039227333,0.04133498,0.01731964,0.00243758,0.017484596,0.80631715,0.0002781149,30.0
0.021148209,0.029523406,0.13335034,0.040712304,0.015869714,0.0060504754,0.7096315,0.04324958,0.00046435665,31.0
0.07467101,0.63195956,0.0430625,0.09932151,0.0076717706,0.0019144956,0.012352315,0.1288153,0.00023161097,32.0
0.028424155,0.06479584,0.05522204,0.053382915,0.0260795,0.0035088733,0.026168274,0.74202645,0.00039193896,33.0
0.05026203,0.097130105,0.119983524,0.09088954,0.08705604,0.009850344,0.08062028,0.4631978,0.0010103197,34.0
0.05507171,0.09994967,0.09659696,0.09025541,0.1730985,0.011534262,0.06716947,0.40496963,0.001354302,35.0
0.023331279,0.038620993,0.77141225,0.096379824,0.0053052306,0.0016243567,0.02377424,0.039384663,0.00016707787,36.0
0.016897053,0.025591625,0.026862442,0.024025848,0.8148276,0.0070560584,0.02615966,0.057710655,0.0008690906,37.0
0.8643229,0.06472953,0.013635477,0.036139615,0.0023873867,0.0008651834,0.004507932,0.013297592,0.00011434021,38.0
0.07136031,0.09631981,0.11223138,0.08446646,0.206746,0.11288883,0.16785409,0.1426443,0.0054888073,39.0
0.033493884,0.074076414,0.05820073,0.06002442,0.03585632,0.0043088035,0.029202087,0.70433795,0.0004993603,40.0
0.8531381,0.06998644,0.015038107,0.037875324,0.0027587186,0.0010130736,0.0051354812,0.014920235,0.00013454563,41.0
0.022323579,0.032722857,0.76945525,0.061577387,0.007831084,0.0026694655,0.064098865,0.03907178,0.0002497517,42.0
0.04262507,0.08762625,0.077658616,0.07617661,0.062014446,0.006403759,0.042989604,0.6037622,0.0007434676,43.0
0.047415573,0.064967856,0.04692968,0.80208415,0.0032890951,0.0009796635,0.007942856,0.026270647,0.00012050095,44.0
0.19387196,0.6426478,0.028188717,0.07880927,0.004805045,0.0014607399,0.008431434,0.041601688,0.00018335131,45.0
