cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,GHS_urban_area_id
0.085510515,0.7043334,0.05910123,0.11125664,0.039086528,0.00071166904,1.0
0.01991089,0.04017398,0.017328793,0.023599507,0.8979462,0.0010405697,2.0
0.10472886,0.1455164,0.09939038,0.11678737,0.5012568,0.03232014,3.0
0.09958468,0.1173051,0.097511485,0.10592189,0.19421881,0.3854581,4.0
0.59508014,0.10438969,0.11327467,0.18200918,0.0050539346,0.0001923277,5.0
0.095009394,0.13591932,0.08976132,0.1068595,0.54923874,0.023211766,6.0
0.16089049,0.18902601,0.09372519,0.55053794,0.0056258226,0.00019455212,7.0
0.04176024,0.02383055,0.04263059,0.89033276,0.0013918019,5.408005e-05,8.0
0.045953564,0.02968286,0.047828067,0.874749,0.0017202352,6.6274966e-05,9.0
0.04542437,0.02204394,0.051843874,0.87922776,0.0014041015,5.5971235e-05,10.0
0.017221516,0.9447418,0.0104817655,0.024754463,0.0027322979,6.823983e-05,11.0
0.018874003,0.93941206,0.011571677,0.026891194,0.003173012,7.811589e-05,12.0
0.019355861,0.033924934,0.017382637,0.022439593,0.90530074,0.0015962932,13.0
0.05998762,0.008486312,0.889294,0.041253287,0.0009326518,4.602421e-05,14.0
0.57296085,0.055501312,0.12776363,0.24055374,0.003096666,0.00012374576,15.0
0.06061419,0.13879827,0.052034374,0.07417347,0.6720912,0.0022884577,16.0
0.0466796,0.028791662,0.04256426,0.880374,0.0015319263,5.847235e-05,17.0
0.10042224,0.029801551,0.1305633,0.7370455,0.0020807425,8.6592605e-05,18.0
0.037971064,0.06543926,0.03476102,0.04478755,0.8136912,0.0033498886,19.0
0.02127465,0.9324158,0.012982092,0.029570268,0.003667446,8.971962e-05,20.0
0.10400835,0.683785,0.053108174,0.15157396,0.0073072705,0.00021730583,21.0
0.041825473,0.0227366,0.04379126,0.89022964,0.0013637643,5.3369484e-05,22.0
0.078861795,0.780837,0.03986031,0.09316378,0.0070769703,0.00020014578,23.0
0.059310716,0.009298678,0.8810524,0.04927842,0.0010102901,4.958594e-05,24.0
0.88263094,0.015696233,0.056279298,0.044166446,0.0011763985,5.062965e-05,25.0
0.1805397,0.037934132,0.15749803,0.6214658,0.002460682,0.000101646736,26.0
0.12149565,0.15857528,0.116580896,0.1329619,0.401274,0.06911225,27.0
0.118648544,0.45705837,0.09356797,0.15597478,0.1728019,0.0019484297,28.0
0.09950097,0.14055046,0.0943784,0.111883864,0.52690107,0.026785214,29.0
0.101666525,0.6190604,0.07494619,0.13577138,0.06748467,0.0010708519,30.0
0.04788911,0.07828284,0.04412161,0.05557518,0.76879627,0.005334966,31.0
0.052993882,0.030621925,0.045222558,0.8695303,0.0015714127,5.984629e-05,32.0
0.030945385,0.05277218,0.028121987,0.03594746,0.84937584,0.002837161,33.0
0.11679152,0.15610449,0.112057984,0.12931447,0.434819,0.050912574,34.0
0.026447205,0.9146549,0.016564777,0.037011597,0.005198845,0.00012264277,35.0
0.04763235,0.84423655,0.027049124,0.07645497,0.004500484,0.00012649596,36.0
0.11446768,0.1539907,0.10937237,0.12649372,0.44893283,0.046742737,37.0
0.874847,0.013748646,0.06676006,0.043519024,0.0010781131,4.7179266e-05,38.0
0.12563397,0.15592521,0.12216191,0.13615748,0.313936,0.14618538,39.0
0.07978066,0.19945386,0.066843376,0.097932026,0.5534933,0.0024967752,40.0
0.87506926,0.018119548,0.057215836,0.048223555,0.0013158174,5.5962268e-05,41.0
0.04759639,0.10242729,0.04171247,0.05857948,0.7475851,0.0020992623,42.0
0.022476401,0.9255093,0.013446266,0.03577576,0.0027196165,7.269705e-05,43.0
0.12287279,0.012990131,0.804562,0.058126863,0.0013808272,6.7426634e-05,44.0
0.83073056,0.028296676,0.06877856,0.07023702,0.0018793038,7.794518e-05,45.0
0.04493452,0.027260907,0.042054143,0.88420874,0.0014847402,5.6950896e-05,46.0
0.111531585,0.15158302,0.106312394,0.12356987,0.4654908,0.04151235,47.0
0.11886135,0.43445447,0.09623111,0.16026437,0.18811546,0.00207323,48.0
0.0488765,0.8145623,0.03256308,0.09724517,0.0065773544,0.00017558296,49.0
0.12322641,0.15947746,0.11860453,0.13477714,0.38604075,0.077873744,50.0
0.08844487,0.08708531,0.068015,0.7527938,0.0035341573,0.00012683697,52.0
0.12598202,0.15740623,0.12223232,0.13666123,0.32655072,0.13116752,53.0
0.8816812,0.014858792,0.060775332,0.04146335,0.0011701802,5.11201e-05,54.0
0.0435965,0.024526417,0.041278925,0.8891701,0.001374981,5.304492e-05,55.0
0.17162338,0.5745592,0.074364714,0.16964853,0.0095115565,0.00029260476,56.0
0.0416185,0.023165064,0.04129788,0.8925324,0.0013342464,5.185352e-05,57.0
0.88389736,0.015659492,0.05540123,0.043830898,0.0011611548,4.9776627e-05,58.0
0.07781734,0.09011554,0.07639943,0.08231965,0.14066304,0.5326849,59.0
0.05616913,0.008975684,0.88943404,0.044364575,0.0010066731,4.9931637e-05,60.0
0.057299837,0.009459052,0.8861788,0.04593471,0.0010740841,5.3503776e-05,61.0
0.056267127,0.008615686,0.8924202,0.04168327,0.0009657599,4.8015892e-05,62.0
0.11239243,0.34586558,0.09127419,0.14276889,0.30521828,0.0024806438,63.0
0.071735814,0.049146395,0.05514197,0.8216402,0.002251863,8.370363e-05,64.0
0.089813836,0.67533934,0.06536063,0.12298453,0.045694318,0.0008073528,65.0
0.12567835,0.15613914,0.12211002,0.13618454,0.3170009,0.14288707,66.0
0.122619145,0.14972103,0.11959222,0.13226698,0.2828356,0.19296506,67.0
0.09227306,0.09839511,0.09167487,0.09474277,0.11781011,0.50510406,68.0
0.033739578,0.037131127,0.033395406,0.03507197,0.048933376,0.81172854,69.0
0.044561874,0.050635543,0.043926973,0.04688952,0.074004516,0.7399816,70.0
0.028727062,0.90650964,0.018194418,0.04045919,0.0059703817,0.00013936972,71.0
0.04579278,0.07516114,0.042171463,0.05335161,0.77845114,0.005071876,72.0
0.12454259,0.15332974,0.12123731,0.13460384,0.2997284,0.16655809,73.0
0.8827625,0.015948249,0.05589166,0.044160277,0.0011864677,5.0960847e-05,74.0
0.11932126,0.14436191,0.11650096,0.1282762,0.26364827,0.2278914,75.0
0.058552347,0.06690034,0.05751263,0.06151956,0.099904865,0.65561026,76.0
0.042502623,0.02327277,0.045204,0.88757455,0.0013915221,5.4531167e-05,77.0
0.12025464,0.5125767,0.08919571,0.14771022,0.12860939,0.001653326,78.0
0.0849837,0.1256183,0.08015941,0.09700461,0.5957189,0.01651503,79.0
0.4490284,0.19004838,0.11916922,0.23416583,0.0073251505,0.00026301006,80.0
0.884397,0.015275762,0.05702785,0.042083677,0.0011653722,5.0347346e-05,81.0
0.12491863,0.15992528,0.1207794,0.13665232,0.36735055,0.09037381,82.0
0.05472951,0.835028,0.032536592,0.066458315,0.010989667,0.00025795054,83.0
0.012519055,0.022016246,0.011160717,0.014465182,0.93881387,0.001024928,84.0
0.060604595,0.009496847,0.8787278,0.050081342,0.0010383024,5.117226e-05,85.0
0.056587964,0.008798026,0.8915643,0.042005826,0.0009943217,4.9560247e-05,86.0
0.11946537,0.43029556,0.094169974,0.1524757,0.2014885,0.0021049844,87.0
0.105779655,0.30299065,0.08735565,0.13385032,0.36742443,0.002599406,88.0
0.1024249,0.12094627,0.10036289,0.10920638,0.20201626,0.36504325,89.0
0.8709183,0.018857148,0.061279114,0.047453538,0.0014303235,6.1548126e-05,90.0
0.6727784,0.02160912,0.21769324,0.08596624,0.001868131,8.490772e-05,91.0
0.057983514,0.008607325,0.89162505,0.040769875,0.0009662045,4.809115e-05,92.0
0.8572232,0.019694999,0.06264682,0.059025545,0.0013526083,5.6824712e-05,93.0
0.8863008,0.014334694,0.056149483,0.042084876,0.0010833378,4.6774898e-05,94.0
0.882527,0.016050644,0.05677313,0.043386117,0.0012110132,5.2107247e-05,95.0
0.04632402,0.028851543,0.050441194,0.87257653,0.0017390857,6.760257e-05,96.0
0.8848663,0.0152170835,0.056620583,0.04208944,0.0011566569,4.9940547e-05,97.0
0.88646764,0.014620725,0.055827063,0.04193183,0.0011049849,4.7703597e-05,98.0
0.042653523,0.07106189,0.03925002,0.049998894,0.79263324,0.004402448,99.0
0.88163024,0.014820434,0.060900282,0.041434214,0.001164096,5.076211e-05,100.0
0.8848837,0.014385665,0.058352366,0.041217383,0.0011124461,4.8407215e-05,101.0
0.86274004,0.020827634,0.06016804,0.05473876,0.0014637369,6.1744744e-05,102.0
0.87834305,0.017258933,0.057377167,0.045680765,0.0012849709,5.5110286e-05,103.0
0.103121005,0.723647,0.050032534,0.115281805,0.0076933103,0.0002243339,104.0
0.04487062,0.093681574,0.03971803,0.05521139,0.76440084,0.0021175563,105.0
0.88312924,0.015955908,0.056160048,0.04350618,0.0011971705,5.14611e-05,106.0
0.88624513,0.014657501,0.056321763,0.041614085,0.0011133993,4.8095637e-05,107.0
0.8821106,0.016273802,0.05594554,0.0444105,0.0012077548,5.17773e-05,108.0
0.109548956,0.13038364,0.10726396,0.11715976,0.224034,0.31160972,109.0
0.8826137,0.015798705,0.05703324,0.04330293,0.001199628,5.181694e-05,110.0
0.05575772,0.008840507,0.89102465,0.04333206,0.0009954846,4.9541028e-05,111.0
0.056365423,0.12877847,0.048436556,0.06928308,0.69498575,0.0021507656,112.0
0.05899706,0.009798324,0.8790146,0.05105348,0.0010830488,5.349458e-05,113.0
0.8841642,0.013784145,0.05883455,0.042120952,0.0010506375,4.55537e-05,114.0
0.85332423,0.02357589,0.06397758,0.0573829,0.0016690686,7.03793e-05,115.0
0.88592184,0.014788097,0.056441445,0.041674066,0.0011259072,4.864807e-05,116.0
0.78328884,0.018025067,0.12927331,0.067872874,0.0014741559,6.5794426e-05,117.0
0.05623364,0.008765733,0.8915345,0.042425204,0.0009914675,4.9454335e-05,118.0
0.061586346,0.09557304,0.057003442,0.07032808,0.70647645,0.009032649,119.0
0.0755716,0.08688245,0.07394278,0.07934074,0.13294002,0.55132234,120.0
0.03401552,0.07295091,0.028951548,0.04008468,0.8225256,0.0014717382,121.0
0.121226706,0.01431491,0.781676,0.08131655,0.0013995878,6.624719e-05,122.0
0.45115212,0.18217428,0.122180946,0.23725921,0.006980508,0.0002529165,123.0
0.0988293,0.6642101,0.06717446,0.120045416,0.048873268,0.00086749427,124.0
0.12439435,0.15906726,0.11892499,0.13422151,0.37498748,0.088404365,125.0
0.1372133,0.2048426,0.08749177,0.56433886,0.005912543,0.00020094334,126.0
0.87748116,0.017418278,0.05800951,0.045729343,0.0013056505,5.608717e-05,127.0
0.09631477,0.254767,0.081431985,0.12240377,0.442368,0.0027144277,128.0
0.57488394,0.093058646,0.113604024,0.21377492,0.0045058955,0.00017263702,129.0
0.8811149,0.013687526,0.06179334,0.042299572,0.0010585198,4.6079345e-05,130.0
0.88090074,0.01648049,0.05730976,0.044009406,0.001246042,5.3620148e-05,131.0
0.14656843,0.06464952,0.086387165,0.699339,0.0029448983,0.00011099988,133.0
0.111443855,0.15166123,0.10651336,0.12404893,0.46545544,0.04087711,134.0
0.025027297,0.91862625,0.015768526,0.035534628,0.0049268086,0.000116508556,135.0
0.062004358,0.14587495,0.05237657,0.075327344,0.66220963,0.0022072317,136.0
0.057147104,0.009469029,0.88614494,0.046106465,0.0010786423,5.3798678e-05,137.0
0.8851447,0.014512109,0.05799857,0.041176744,0.0011192975,4.8555088e-05,138.0
0.878853,0.017087055,0.05648439,0.046274476,0.0012477892,5.3239924e-05,139.0
0.8799373,0.014484011,0.062852025,0.041523013,0.0011531335,5.0583974e-05,140.0
0.87210315,0.018237216,0.05764472,0.050668634,0.0012915994,5.4675038e-05,141.0
0.86286944,0.021251062,0.061304696,0.052981585,0.0015285072,6.4763044e-05,142.0
0.88558716,0.014805461,0.056702614,0.04172697,0.0011289524,4.8875336e-05,143.0
0.105660185,0.031701326,0.15536915,0.7048611,0.0023112544,9.7015385e-05,144.0
0.104629554,0.29050452,0.083573036,0.12543024,0.39327413,0.002588573,145.0
0.057815906,0.008562473,0.89144593,0.041174483,0.0009538515,4.7368037e-05,146.0
0.05640997,0.008926783,0.8906457,0.042952333,0.0010145527,5.0647788e-05,147.0
0.07513111,0.7227256,0.04519019,0.1504821,0.006286696,0.00018429694,148.0
0.80187696,0.033240963,0.077352025,0.08534674,0.0020973496,8.588573e-05,149.0
0.04747985,0.07697927,0.043628633,0.054673802,0.7717552,0.005483277,150.0
0.8858746,0.014199145,0.056736164,0.042065267,0.0010782543,4.664895e-05,151.0
0.08785395,0.10248101,0.08621958,0.09322418,0.16397561,0.46624562,152.0
0.116948254,0.12289764,0.116364606,0.119359314,0.14101645,0.38341367,153.0
0.8849449,0.015022129,0.055659592,0.043210234,0.0011153069,4.791656e-05,154.0
0.10416175,0.11038036,0.10352482,0.106647134,0.12979117,0.4454948,155.0
0.1218604,0.14845987,0.11868749,0.13108732,0.279047,0.20085797,156.0
0.02380375,0.042531904,0.021460742,0.02797977,0.8823847,0.0018390667,157.0
0.12760021,0.67634183,0.059935644,0.12581354,0.010018403,0.0002903425,158.0
0.04121934,0.85638875,0.028198792,0.063412294,0.010546516,0.00023426957,159.0
0.88651925,0.014357416,0.056725364,0.041254703,0.0010958591,4.7454723e-05,160.0
0.059576485,0.008561187,0.8879465,0.04294015,0.0009300163,4.5679713e-05,161.0
0.88642895,0.014064399,0.05721507,0.04116762,0.0010772226,4.6726418e-05,162.0
0.88638234,0.014400866,0.056037497,0.04204355,0.001088683,4.700927e-05,163.0
0.8834286,0.013799052,0.059321493,0.042348024,0.0010569894,4.5929268e-05,164.0
0.049860485,0.05694117,0.049144786,0.052576285,0.084468454,0.70700884,165.0
0.061457384,0.07034074,0.060344193,0.06460638,0.10565822,0.6375931,166.0
0.08701575,0.07601195,0.06499799,0.7687165,0.0031439262,0.00011392265,167.0
0.8775358,0.014270909,0.06143005,0.04564331,0.0010735577,4.6354457e-05,168.0
0.1217472,0.4891886,0.074016854,0.30703,0.0077747297,0.00024256804,169.0
0.07394077,0.111469015,0.06890354,0.08379615,0.64923036,0.0126601765,170.0
0.07741793,0.026236566,0.09553918,0.7989307,0.0018012646,7.438596e-05,171.0
0.0151274325,0.027980503,0.013475014,0.017772425,0.924617,0.0010276682,172.0
0.054767173,0.08773017,0.0506907,0.063284755,0.7368542,0.0066729626,173.0
0.13379015,0.3040278,0.08635023,0.46833703,0.0072576776,0.00023712734,174.0
0.051713977,0.021785894,0.059404623,0.8656256,0.0014129417,5.69722e-05,175.0
0.08484552,0.09880029,0.08326086,0.089912124,0.15699725,0.486184,176.0
0.06304057,0.07216024,0.06186212,0.066230856,0.108494215,0.628212,177.0
0.12951851,0.13486975,0.12900166,0.13170709,0.15072055,0.32418236,178.0
0.11681891,0.140568,0.11386778,0.12502412,0.25262508,0.2510961,179.0
0.87361085,0.014698017,0.06788357,0.042563308,0.0011916548,5.2582567e-05,180.0
0.12558763,0.1557845,0.12207196,0.1360117,0.31420484,0.1463393,181.0
0.05230933,0.05971404,0.051493462,0.05507795,0.08865547,0.69274974,182.0
0.025973372,0.028998038,0.025642255,0.027117224,0.039993454,0.8522756,183.0
