cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,GHS_urban_area_id
0.026470684,0.013507331,0.8062375,0.072530076,0.017619483,0.01457029,0.016764643,0.0061329515,0.0023514219,0.023815647,1.0
0.08226711,0.036409073,0.3060013,0.35169774,0.049805973,0.039730296,0.04727083,0.009402138,0.0041638156,0.07325172,2.0
0.0013969712,0.00077112904,0.98991066,0.0032287224,0.0009783206,0.0008260625,0.0009359744,0.0005033658,0.00017208487,0.0012767197,3.0
0.062332164,0.042860683,0.3635696,0.096171975,0.05014421,0.044935796,0.04850194,0.20678607,0.026100514,0.058597066,4.0
0.8743055,0.010234407,0.0019980785,0.01578505,0.03472045,0.014848789,0.016927322,0.00028991568,0.00016648597,0.030724058,5.0
0.03330516,0.020460453,0.74789995,0.061505217,0.024996547,0.021714935,0.023979886,0.028256837,0.007142275,0.030738756,6.0
0.16259766,0.029867083,0.014744991,0.5250665,0.054138575,0.035132322,0.04873953,0.0015876626,0.00088838936,0.12723736,7.0
0.012876539,0.5308107,0.0010295049,0.0042646984,0.041702203,0.12208169,0.25964564,0.00020275629,0.00013677758,0.027249502,8.0
0.021452518,0.068941355,0.0012998813,0.0065458585,0.050783455,0.059195243,0.70220655,0.00023143654,0.00015222077,0.089191504,9.0
0.005207354,0.8532507,0.0004644505,0.0018061013,0.016544849,0.057265677,0.055715013,9.480992e-05,6.4516295e-05,0.00958651,10.0
0.03217882,0.016265364,0.76279294,0.090875655,0.021323953,0.017596606,0.020270394,0.0069753276,0.0026928813,0.029028066,11.0
0.06164034,0.029370707,0.52455735,0.2067065,0.039268848,0.031919256,0.03729786,0.009815937,0.0040606214,0.055362605,12.0
0.06221768,0.042885352,0.35156378,0.095424294,0.050134134,0.04495379,0.048473407,0.21917984,0.026719695,0.05844808,13.0
0.010528789,0.1694448,0.0007601537,0.0030509825,0.052464962,0.6680588,0.07934887,0.00015258498,0.00010025452,0.016089762,14.0
0.02182229,0.01491789,0.0010385871,0.006985461,0.02289998,0.016431069,0.04616819,0.00016292774,0.00010304032,0.8694706,15.0
0.004145676,0.0023722807,0.9699352,0.008874558,0.0029729148,0.0025345406,0.0028476326,0.0019066246,0.0006027411,0.003807838,16.0
0.009702118,0.07778049,0.00064138504,0.0029446003,0.03015564,0.053120926,0.799058,0.00011974771,7.951055e-05,0.026397562,17.0
0.008687183,0.73017555,0.00072536006,0.0029154252,0.028172474,0.09032226,0.12189795,0.0001454195,9.8636614e-05,0.016859807,18.0
0.0014504656,0.0008160479,0.9895097,0.003224156,0.0010291116,0.00087349024,0.0009851335,0.0005881242,0.00019285828,0.0013308368,19.0
0.003777789,0.0020450254,0.9727967,0.008982108,0.0026171007,0.0021981716,0.002493089,0.0012338834,0.00042897888,0.003427133,20.0
0.1719302,0.038667355,0.015836395,0.39558855,0.06599304,0.04421506,0.06573897,0.0017817495,0.0010273495,0.19922137,21.0
0.018338505,0.060780197,0.0010772703,0.0053975233,0.04727361,0.056002233,0.7392637,0.00019238376,0.00012620013,0.07154829,22.0
0.058402818,0.016519323,0.011780104,0.7801193,0.025942612,0.018503908,0.025763188,0.0011294499,0.0006274129,0.06121193,23.0
0.005207932,0.8620187,0.0004792101,0.0018299354,0.016315207,0.056764364,0.047979847,9.888261e-05,6.754795e-05,0.009238435,24.0
0.65629524,0.02886916,0.0041588494,0.025602402,0.1305507,0.046323117,0.045277733,0.00066004065,0.00038351942,0.06187922,25.0
0.052324314,0.055209775,0.0023613917,0.014071888,0.08102086,0.06038011,0.2414329,0.0003912826,0.0002515277,0.492556,26.0
0.0049478873,0.0038933044,0.0119345905,0.0063536954,0.00431609,0.004018473,0.0042168587,0.95017916,0.005391619,0.0047483044,27.0
0.044006232,0.015799634,0.0260023,0.8056791,0.022975285,0.017413897,0.022522923,0.0018400267,0.000953412,0.042807218,28.0
0.08990962,0.01806195,0.01188246,0.73209935,0.03204579,0.021257168,0.028149642,0.0011816291,0.0006395072,0.06477285,29.0
0.08090694,0.036222436,0.32867166,0.33194667,0.04951707,0.039625496,0.04691469,0.009614051,0.004191097,0.07238989,30.0
0.0037615055,0.0020628958,0.97263414,0.009063025,0.0026198109,0.0022093644,0.002517778,0.0012266735,0.00043385194,0.0034709477,31.0
0.022973817,0.010973075,0.0009769307,0.0072667524,0.018557876,0.012342242,0.029882492,0.00014818487,9.301692e-05,0.8967856,32.0
0.0070642717,0.0037730008,0.9491691,0.017169187,0.004859143,0.00406699,0.004615367,0.0021454177,0.0007538615,0.0063837115,33.0
0.037173543,0.023028404,0.71593654,0.067555755,0.028052522,0.024424419,0.026914302,0.034256652,0.008325213,0.034332655,34.0
0.069343455,0.032339532,0.45548785,0.2463887,0.04359433,0.035241596,0.0413163,0.010033487,0.004212587,0.062042177,35.0
0.100044444,0.03148997,0.002498029,0.018112713,0.07805887,0.040750604,0.08784514,0.0003859529,0.00023869654,0.6405756,36.0
0.05506747,0.039207313,0.24230812,0.08061231,0.045264494,0.040960513,0.043862253,0.37140906,0.02930307,0.052005466,37.0
0.009817729,0.6548928,0.00078389293,0.0031763199,0.034990482,0.13539143,0.14201316,0.00015646414,0.00010522658,0.018672496,38.0
0.062239923,0.042511933,0.39196318,0.097348094,0.0498565,0.04460101,0.04823979,0.17995924,0.024728015,0.05855231,39.0
0.003700058,0.0021012072,0.97326446,0.007965074,0.0026432266,0.00224857,0.002525089,0.0016482266,0.0005214824,0.003382642,40.0
0.012250502,0.15622054,0.0008089189,0.0033515976,0.06735675,0.63654464,0.1042961,0.00015984799,0.00010491689,0.018906262,41.0
0.069114976,0.0149991065,0.014196778,0.7897455,0.026256457,0.017716082,0.022106247,0.001278756,0.00066456007,0.043921564,42.0
0.045940395,0.022580607,0.65667737,0.1386661,0.029922048,0.024513895,0.028364424,0.008669691,0.0034376238,0.04122785,43.0
0.026043274,0.031251382,0.00088568963,0.0043168617,0.75469285,0.0944336,0.06067604,0.00016090057,0.00010076052,0.027438654,44.0
0.023796132,0.033296343,0.0008899777,0.004175345,0.74130785,0.11743114,0.05501737,0.0001645081,0.00010323673,0.023818115,45.0
0.047296304,0.018082537,0.0020458556,0.016813478,0.03149205,0.020619605,0.044273656,0.00029936776,0.00018530147,0.8188918,46.0
0.024172127,0.01801019,0.07817719,0.03319769,0.02042112,0.018717071,0.019848952,0.7466066,0.017877547,0.022971535,47.0
0.07384751,0.016825717,0.017552705,0.7699168,0.028770154,0.019616587,0.024426585,0.0015451398,0.0008043743,0.04669453,48.0
0.039180424,0.01953014,0.7092453,0.11442544,0.02573665,0.021161918,0.024437279,0.0079125,0.0031072637,0.03526296,49.0
