cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,GHS_urban_area_id
0.08178102,0.03249596,0.005852275,0.03264753,0.017323878,0.00013518937,0.058451846,0.5095193,0.05957086,0.03796191,0.053652946,0.039344072,0.071263246,1
0.12018045,0.036770403,0.007095525,0.03664086,0.021101642,0.00015869553,0.09063736,0.3711099,0.0784598,0.049841627,0.06425659,0.047639467,0.076107636,2
0.010608071,0.0055562397,0.008526097,0.0054147695,0.8994077,0.00014416229,0.018792903,0.011588349,0.011484716,0.0076764436,0.007166672,0.0064872657,0.007146694,3
0.09590588,0.044014663,0.020410053,0.04381272,0.11145617,0.0004073981,0.13135499,0.20812275,0.10221453,0.055119712,0.06352768,0.051158097,0.072495274,4
0.06045053,0.012481514,0.0056846025,0.011577839,0.015671242,0.000109124456,0.7502737,0.023574613,0.033462696,0.032418583,0.019490406,0.018994847,0.015810166,5
0.09477986,0.02849838,0.020623252,0.027292877,0.089531094,0.0003533415,0.42239878,0.0629433,0.07863364,0.05568173,0.04264031,0.03885089,0.037772533,6
0.14955416,0.0636056,0.002550655,0.056212924,0.004532767,7.03147e-05,0.025217474,0.03834899,0.030329142,0.15955533,0.14099704,0.25144562,0.07757999,7
0.024636762,0.086722165,0.0017477907,0.21441571,0.0030322424,5.509618e-05,0.009494966,0.03675222,0.015095445,0.022784732,0.08509561,0.057657544,0.44250977,8
0.02340969,0.074108824,0.0015951799,0.14745082,0.0028337075,4.9659724e-05,0.008936039,0.037987925,0.014093432,0.020755628,0.07535897,0.051051836,0.54236835,9
0.024276024,0.07892387,0.0017428398,0.19229072,0.0030318736,5.4603122e-05,0.009435742,0.03792409,0.015189269,0.022072028,0.08433919,0.054184996,0.47653475,10
0.060606763,0.034860592,0.0072672972,0.03646849,0.022133056,0.00017233862,0.0475044,0.5326094,0.05758161,0.033819992,0.052415304,0.037695426,0.07686536,11
0.032761008,0.020629914,0.0029545804,0.022096412,0.0077963164,7.37999e-05,0.020422716,0.73865694,0.027301898,0.018070744,0.032164402,0.021955302,0.055115934,12
0.08739764,0.047433812,0.019451851,0.048264593,0.08886799,0.00041509332,0.09965409,0.25728565,0.09726118,0.052483503,0.06693324,0.052322652,0.08222864,13
0.018716717,0.09222145,0.0014472938,0.5837547,0.002246559,4.7193273e-05,0.0072269444,0.018103998,0.011781274,0.02239229,0.07989872,0.068515144,0.093647815,14
0.09653246,0.043468334,0.0048540593,0.06005932,0.008696127,0.00011102483,0.03684899,0.14559798,0.108676516,0.056944028,0.22981319,0.06892051,0.13947742,15
0.07763963,0.041565187,0.029295728,0.041787837,0.24950825,0.00056565186,0.10998794,0.14272997,0.09025212,0.04994218,0.056674264,0.046644304,0.06340703,16
0.014788038,0.09001833,0.0012556555,0.6613058,0.0019700506,4.2425883e-05,0.006003652,0.01565386,0.009437758,0.017168563,0.052550446,0.049242735,0.08056267,17
0.024551105,0.100858025,0.0018061958,0.29927245,0.0030775352,5.7838828e-05,0.009554437,0.03408246,0.015127375,0.023740279,0.08623997,0.062310483,0.33932182,18
0.09405612,0.04430474,0.019615145,0.04487928,0.09782771,0.0003964776,0.12101047,0.22957993,0.102719784,0.05383269,0.0651261,0.05101918,0.075632356,19
0.031070748,0.019579832,0.0027380409,0.021087762,0.007143026,6.8471505e-05,0.019028872,0.75122964,0.025726387,0.017093664,0.030906308,0.02088552,0.05344167,20
0.12019189,0.030623198,0.014107396,0.030604871,0.052893754,0.00025541248,0.34407,0.1042016,0.1041987,0.05603027,0.052527178,0.042154714,0.04814107,21
0.024823662,0.09098459,0.0018083636,0.3010009,0.0030400085,5.698447e-05,0.009565556,0.033655025,0.01572793,0.02417056,0.0985768,0.06335897,0.33323064,22
0.09483603,0.04361559,0.01993572,0.044446003,0.09975385,0.00039678309,0.12508802,0.2227873,0.10489016,0.05388422,0.065138675,0.05062673,0.07460093,23
0.025432376,0.081169404,0.0016199269,0.16852407,0.0028536082,5.0329956e-05,0.009332116,0.036462776,0.01456709,0.022942945,0.08677879,0.059267715,0.49099883,24
0.3072495,0.030142477,0.0060837693,0.026572574,0.012001145,0.00013985738,0.2149104,0.03841719,0.056516107,0.16373436,0.05059351,0.059164543,0.034474615,25
0.04587802,0.022322865,0.003377577,0.024136364,0.008985115,8.1581165e-05,0.028108949,0.68530756,0.035032924,0.022527456,0.03910019,0.025736008,0.05940544,26
